"";"hashed_id";"profession_declaree";"profession_recode"
"1603";928;"service civique";NA
"1604";3780;"Secrétaire administrative des hôpitaux publics";"Secrétaire administrative des hôpitaux publics"
"1605";8543;"Adjoint administratif (secrétariat)";"Adjoint administratif (secrétariat)"
"1606";7950;"Directeur établissement médico-social";"Directeur d'établissement médico-social"
"1607";2006;"Cybersecurity engineer";"Experte en cybersécurité"
"1608";7084;"Ingénieur chercheur de l'industrie";"Ingénieur chercheur de l'industrie"
"1609";477;"Secrétaire comptable";"Secrétaire comptable"
"1610";10045;"auxilliaire de sante";"Auxiliaire de soins"
"1611";9575;"Vendeuse et naturopathe";"Naturopathe"
"1612";2862;"Intervenante socio éducative";"Conseillère socio-éducative"
"1613";3959;"Cadre";NA
"1614";1697;"Assistante logistique";"Assistante logistique"
"1615";8224;"Cadre la poste";"Cadre logistique"
"1616";3154;"Artisan du bâtiment";"Artisan du bâtiment"
"1617";8119;"Preparatrice de commandes";"Préparatrice de commandes"
"1618";6859;"Data scientist";"Data scientist"
"1619";1264;"Consultante formatrice";"Consultante formatrice"
"1620";652;"Ingénieur support informatique";"Ingénieur support informatique"
"1621";1779;"Enseignant agrégé en lycée";"Enseignant agrégé en lycée"
"1622";7660;"Copywriter";"Rédacteur commercial"
"1623";9949;"Informaticien";"Informaticien conseil"
"1624";8712;"Assistante administrative d'entreprise";"Assistante administrative d'entreprise"
"1625";6118;"Technicienne administrative d'assurances";"Technicienne administrative d'assurances"
"1626";9511;"Peintre en bâtiment";"Peintre en bâtiment"
"1627";7659;"Cto";"Cadre dirigeant d'entreprise de services"
"1628";9203;"Concepteur redacteur";"Concepteur rédacteur publicitaire"
"1629";1944;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"1630";1666;"Ingénieur d'exploitation informatique";"Ingénieur d'exploitation informatique"
"1631";6720;"Producteur audiovisuel";"Producteur audiovisuel"
"1632";4039;"Agent administratif des collectivités territoriales";"Agent administratif des collectivités territoriales"
"1633";8786;"Consultant formateur";"Consultant formateur"
"1634";2190;"Garagiste automobile";"Garagiste"
"1635";5916;"Chargée d'administration et de production";"Chargée d'administration commerciale"
"1636";4304;"Neuropsychologue";"Neuropsychologue"
"1637";5320;"Développeur full-stack";"Développeur full-stack"
"1638";4330;"Menuisier agenceur ébéniste";"Menuisier ébéniste"
"1639";8706;"Dessinatrice projeteuse BTP";"Dessinatrice projeteuse BTP"
"1640";156;"Ingénieur agronome";"Ingénieur agronome"
"1641";77;"Juriste";"Juriste"
"1642";8723;"Vendeur conseil magasin beauté, culture, loisirs (VCM)";"Vendeur conseil magasin beauté, culture, loisirs (VCM)"
"1643";2592;"Professeure certifiée en collège";"Professeure certifiée en collège"
"1644";3726;"Superviseur d'équipe";"Chef d'équipe BTP"
"1645";2275;"Cadre de rééducation";"Cadre de rééducation"
"1646";8869;"Responsable d'exploitation industrielle";"Responsable d'exploitation industrielle"
"1647";3492;"Éducateur spécialisé";"Éducateur spécialisé"
"1648";5908;"Ingénieur d'application informatique";"Ingénieur d'application informatique"
